lat,lon,price,beds,price_per_bed,price_per_bed_scale
40.590542,-73.791534,2200,2,1100,110
40.588665,-73.798607,1800,1,1800,180
40.593319,-73.795502,2669,3,890,89
40.595955,-73.796135,2690,3,897,89.7
40.595715,-73.800797,2350,2,1175,117.5
40.596367,-73.796181,2200,2,1100,110
40.597115,-73.792305,2500,3,833,83.3
40.598568,-73.796516,2600,3,867,86.7
40.598232,-73.79361,2800,3,933,93.3
40.598656,-73.794952,2800,3,933,93.3
40.59692,-73.801468,2200,2,1100,110
40.587746,-73.801376,3200,3,1067,106.7
40.589378,-73.804825,2950,3,983,98.3
40.59745,-73.793991,3500,4,875,87.5
40.776501,-73.935364,3550,1,3550,355
40.776501,-73.935364,4455,2,2228,222.8
40.776501,-73.935364,5895,2,2948,294.8
40.776501,-73.935364,3575,1,3575,357.5
40.776501,-73.935364,2925,1,2925,292.5
40.776501,-73.935364,3045,1,3045,304.5
40.776501,-73.935364,3375,1,3375,337.5
40.771713,-73.932884,3400,1,3400,340
40.771217,-73.933823,1895,1,1895,189.5
40.771217,-73.933823,2850,1,2850,285
40.765438,-73.934433,2400,2,1200,120
40.774601,-73.927856,1850,1,1850,185
40.766293,-73.933357,2937,1,2937,293.7
40.768696,-73.930603,2095,1,2095,209.5
40.773197,-73.928017,2750,1,2750,275
40.766708,-73.931839,2500,2,1250,125
40.766708,-73.931839,2500,2,1250,125
40.765465,-73.931877,1800,1,1800,180
40.766094,-73.931221,2250,1,2250,225
40.782436,-73.918625,2400,2,1200,120
40.782436,-73.918625,2400,2,1200,120
40.782875,-73.917015,3499,2,1750,175
40.774723,-73.900116,2600,2,1300,130
40.772949,-73.898193,1600,1,1600,160
40.780598,-73.909264,2200,1,2200,220
40.779099,-73.907349,2200,1,2200,220
40.779099,-73.907349,2500,2,1250,125
40.778313,-73.906364,1850,1,1850,185
40.771435,-73.896721,1801,1,1801,180.1
40.773106,-73.89949,2300,2,1150,115
40.780273,-73.909866,2700,2,1350,135
40.782742,-73.911781,2500,2,1250,125
40.771435,-73.896721,1800,1,1800,180
40.777596,-73.905983,2500,2,1250,125
40.77195,-73.898102,1700,1,1700,170
40.769512,-73.927521,2750,3,917,91.7
40.771687,-73.925873,4500,3,1500,150
40.778614,-73.910561,1850,1,1850,185
40.781006,-73.914818,1800,1,1800,180
40.768845,-73.927612,2900,2,1450,145
40.771507,-73.900719,1650,1,1650,165
40.771576,-73.925262,2775,3,925,92.5
40.776157,-73.907516,2295,2,1148,114.8
40.77412,-73.904823,1650,1,1650,165
40.770077,-73.926025,2700,3,900,90
40.764408,-73.930748,2800,1,2800,280
40.772831,-73.90361,2200,2,1100,110
40.773865,-73.905136,1400,1,1400,140
40.775482,-73.907898,3650,3,1217,121.7
40.769775,-73.900063,1800,2,900,90
40.775898,-73.908775,2150,2,1075,107.5
40.77512,-73.908783,2500,3,833,83.3
40.776028,-73.908142,2350,2,1175,117.5
40.781624,-73.914902,1700,1,1700,170
