lat,lon,price,beds,price_per_bed,price_per_bed_scale,borough,5_digit_zip,pets,parking,ac,nearest_station,distance_between
40.759701,-73.987503,9990000,4,2497500,249750,Manhattan,10065,No,None,No,50th St,0.3319832396
40.78878,-73.781769,1530000,7,218571,21857.1,Queens,11360,No,No info,No,Flushing-Main St,5.2003038626
40.724892,-73.893158,1100000,4,275000,27500,Queens,11378,No,No info,No,Metropolitan Av,5.0909774613
40.746407,-73.779282,1050000,5,210000,21000,Queens,11358,Dogs & Cats,None,No,Jamaica-179th St,3.7734509784
40.713799,-73.880783,1029000,5,205800,20580,Queens,11379,No,No info,Heating only,Metropolitan Av,5.954443471
40.756233,-73.796715,978888,3,326296,32629.6,Queens,11355,Dogs & Cats,None,No,Flushing-Main St,2.8309006686
40.721317,-73.81218,848000,3,282667,28266.7,Queens,11367,No,Garage,Heating only,Briarwood-Van Wyck Blvd,1.5238581907
40.705772,-73.813171,749918,3,249973,24997.3,Queens,11432,No,None,Heating & Cooling,Sutphin Blvd,0.210493736
40.765442,-73.979088,150000,4,37500,3750,Manhattan,10019,Dogs & Cats,Garage,Heating & Cooling,57th St,0.2138885943
40.766415,-73.971046,120000,3,40000,4000,Brooklyn,11209,No,None,No,5th Av,0.2633697151
40.632763,-74.116478,100000,2,50000,5000,Staten Island,10310,Cats allowed,None,No,95th St,7.4440655789
40.760807,-73.977364,100000,5,20000,2000,Manhattan,10034,Dogs allowed,None,No,5th Av-53rd St,0.1937800596
40.741608,-73.990356,70000,4,17500,1750,Manhattan,10001,Dogs & Cats,Garage,Cooling only,23rd St,0.2511353567
40.761501,-73.971794,70000,4,17500,1750,Manhattan,10018,Dogs & Cats,None,Cooling only,5th Av,0.3906045432
40.721256,-73.99588,60000,3,20000,2000,Manhattan,10023,Dogs allowed,None,No,Spring St,0.8626420173
40.766514,-73.970978,60000,3,20000,2000,Manhattan,10033,No,None,No,5th Av,0.2750706641
40.766163,-73.981133,55000,3,18333,1833.3,Manhattan,10019,Dogs & Cats,None,No,57th St,0.3944157307
40.77282,-73.963219,55000,6,9167,916.7,Manhattan,10002,No,None,No,77th St,16.7537289338
40.780308,-73.986923,50000,4,12500,1250,Manhattan,10069,Dogs & Cats,Garage,No,72nd St,1.0287678282
40.765442,-73.979088,47500,4,11875,1187.5,Manhattan,10019,Dogs & Cats,None,Cooling only,57th St,0.2138885943
40.726124,-74.000229,45000,3,15000,1500,Manhattan,10019,Dogs & Cats,None,No,Prince St,0.2918640257
40.768471,-73.983093,42500,4,10625,1062.5,Manhattan,10019,Dogs & Cats,Garage,Cooling only,59th St-Columbus Circle,0.1011401831
40.724262,-73.997963,42500,4,10625,1062.5,Manhattan,10031,Dogs & Cats,None,No,Prince St,0.0232219191
40.776714,-73.962341,42000,5,8400,840,Manhattan,10026,Dogs & Cats,None,No,77th St,17.1881788338
40.769859,-73.981392,40000,2,20000,2000,Manhattan,10005,Dogs allowed,None,Cooling only,59th St,14.6155238505
40.747578,-74.007301,40000,3,13333,1333.3,Manhattan,10032,Dogs & Cats,None,No,14th St,1.3979041357
40.754864,-73.965889,39985,4,9996,999.6,Manhattan,10022,Dogs allowed,Garage,Heating & Cooling,Lexington Av-53rd St,0.4005616448
40.742043,-73.997826,39900,4,9975,997.5,Manhattan,10039,No,None,No,18th St,0.1115929599
40.77565,-73.963242,35000,4,8750,875,Manhattan,10003,Dogs & Cats,Garage,No,77th St,17.0522084153
40.777374,-73.95974,35000,4,8750,875,Manhattan,10032,Dogs & Cats,None,No,77th St,17.3268691969
40.765442,-73.979088,35000,2,17500,1750,Manhattan,10025,No,None,No,57th St,0.2138885943
40.772198,-73.990898,35000,4,8750,875,Manhattan,10003,No,None,No,66th St-Lincoln Center,0.7446067196
40.72538,-73.979576,33000,4,8250,825,Manhattan,10014,No,None,Cooling only,1st Av,0.643360986
40.719257,-74.000381,33000,1,33000,3300,Manhattan,10010,No,None,No,Canal St,0.4441702715
40.743023,-73.986626,32500,3,10833,1083.3,Manhattan,10010,No,None,No,28th St,0.325205197
40.691574,-73.98877,30000,4,7500,750,Brooklyn,11201,Dogs & Cats,Garage,Cooling only,Borough Hall,0.2101838339
40.779247,-73.958473,30000,4,7500,750,Manhattan,10025,Dogs allowed,None,No,86th St,18.3795748783
40.733833,-73.99202,30000,2,15000,1500,Manhattan,10027,No,None,No,Union Square,0.2444247847
40.725952,-73.995216,29750,3,9917,991.7,Manhattan,10012,No,None,Heating & Cooling,Bleecker St,0.0471171832
40.770767,-73.981575,28000,4,7000,700,Manhattan,10023,Dogs & Cats,None,Heating only,59th St,14.7110219892
40.734104,-74.009705,27500,3,9167,916.7,Manhattan,10027,Dogs & Cats,None,No,Christopher St,0.577867408
40.768471,-73.983093,27500,3,9167,916.7,Manhattan,10002,Dogs & Cats,None,No,59th St-Columbus Circle,0.1011401831
40.719807,-73.997719,25000,5,5000,500,Manhattan,10023,Dogs & Cats,Garage,Cooling only,Spring St,0.8757743424
40.74371,-74.003029,25000,3,8333,833.3,Manhattan,10025,No,None,Cooling only,14th St,0.8376843028
40.756371,-73.982193,25000,5,5000,500,Manhattan,10036,No,None,Cooling only,47-50th Sts Rockefeller Center,0.2650450705
40.632763,-74.116478,25000,1,25000,2500,Staten Island,10310,Cats allowed,None,No,95th St,7.4440655789
40.774509,-73.96447,25000,2,12500,1250,Manhattan,10021,No,None,No,77th St,16.8997487325
40.725548,-74.008301,25000,2,12500,1250,Manhattan,10012,No,None,No,Canal St,0.5856140474
40.762989,-73.96994,24950,3,8317,831.7,Manhattan,10128,Dogs & Cats,None,No,59th St,14.1152096208
40.737267,-73.991234,24950,3,8317,831.7,Manhattan,10029,No,None,No,Union Square,0.1792489549
40.712254,-73.948822,24949,5,4990,499,Brooklyn,11211,No,None,No,Lorimer St,0.9399565386
40.776089,-73.960693,24500,3,8167,816.7,Manhattan,10006,No,Garage,No,77th St,17.1658345707
40.756371,-73.982193,24000,4,6000,600,Manhattan,10033,Dogs & Cats,None,No,47-50th Sts Rockefeller Center,0.2650450705
40.707123,-74.016678,23999,5,4800,480,Manhattan,10013,Dogs & Cats,None,Heating & Cooling,Rector St,0.2814036289
40.726082,-73.995224,23833,3,7944,794.4,Manhattan,10002,Dogs & Cats,None,Cooling only,Bleecker St,0.0511044742
40.786282,-73.955406,23000,5,4600,460,Manhattan,10029,Dogs & Cats,None,No,96th St,0.9837875281
40.714958,-74.007256,22500,3,7500,750,Manhattan,10034,No,None,No,Chambers St,0.1463447249
40.753544,-73.965904,22000,4,5500,550,Manhattan,10044,Dogs & Cats,None,Cooling only,Lexington Av-53rd St,0.5187132894
40.785515,-73.952698,22000,5,4400,440,Manhattan,10029,Dogs & Cats,None,No,96th St,1.2188368435
40.786114,-73.980278,22000,5,4400,440,Manhattan,10019,No,None,No,79th St,0.2443029439
40.768471,-73.983093,21950,2,10975,1097.5,Manhattan,10023,Dogs & Cats,Garage,Cooling only,59th St-Columbus Circle,0.1011401831
40.749062,-74.003708,21000,3,7000,700,Manhattan,10011,Dogs & Cats,None,Cooling only,23rd St,1.1462960436
40.761559,-73.968163,21000,2,10500,1050,Manhattan,10016,Dogs & Cats,Garage,No,59th St,14.0070352716
40.727173,-74.008102,21000,3,7000,700,Manhattan,10014,Dogs & Cats,None,No,Houston St,0.2597751735
